,name,display_address,rating,review_count,price,latitude,longitude,bid,type
82,Super Duper Burgers,"721 Market St, San Francisco, CA 94103",4.0,2834,$$,37.787097,-122.404122,65860,Burgers
83,Boulevard,"1 Mission St, San Francisco, CA 94105",4.0,2714,$$$,37.793497,-122.392841,3484,American (New)
84,KUSAKABE,"584 Washington St, San Francisco, CA 94111",4.5,977,$$$$,-9999.0,-9999.0,78403,Sushi Bars
85,PPQ Dungeness Island - San Francisco,"2332 Clement St, San Francisco, CA 94121",4.0,3178,$$,37.782068,-122.484432,3206,Seafood
86,Belly Good Cafe & Crepes,"1737 Post St, Ste 393, San Francisco, CA 94115",4.5,1359,$,37.785457,-122.430317,3690,Ice Cream & Frozen Yogurt
87,Oma San Francisco Station,"1737 Post St, Ste 337, San Francisco, CA 94115",4.5,253,$$$$,37.785457,-122.430317,3690,Sushi Bars
88,Blackwood,"2150 Chestnut St, San Francisco, CA 94123",4.0,1951,$$,37.800508,-122.438824,68331,Thai
89,Mymy,"1500 California St, San Francisco, CA 94109",4.0,1926,$$,37.790798,-122.419214,63413,Breakfast & Brunch
90,Don Pistos,"510 Union St, San Francisco, CA 94133",4.0,1938,$$,37.800628,-122.407824,61351,Mexican
91,Little Star Pizza,"400 Valencia St, San Francisco, CA 94103",4.0,2181,$$,37.766408,-122.422055,27964,Pizza
92,R&G Lounge,"631 Kearny St, San Francisco, CA 94108",3.5,4675,$$,37.794154,-122.404765,3016,Seafood
93,Craftsman and Wolves,"746 Valencia St, San Francisco, CA 94110",4.0,1669,$$,37.760955,-122.421552,68894,Bakeries
94,Boba Guys,"429 Stockton St, San Francisco, CA 94108",4.0,2068,$,-9999.0,-9999.0,80120,Coffee & Tea
95,Hot Sauce and Panko,"1468 Hyde St, San Francisco, CA 94109",4.5,1256,$,-9999.0,-9999.0,91042,Chicken Wings
96,Four Barrel Coffee,"375 Valencia St, San Francisco, CA 94103",4.0,2147,$,37.766994,-122.422035,36840,Coffee & Tea
97,Gracias Madre,"2211 Mission St, San Francisco, CA 94110",4.0,3454,$$,-9999.0,-9999.0,70064,Mexican
98,Spruce,"3640 Sacramento St, San Francisco, CA 94118",4.0,2086,$$$$,37.787478,-122.452723,34726,American (Traditional)
99,Philz Coffee,"549 Castro St, San Francisco, CA 94114",4.5,1082,$,-9999.0,-9999.0,82955,Coffee & Tea
100,Bella Trattoria,"3854 Geary Blvd, San Francisco, CA 94118",4.5,1632,$$,37.781268,-122.460842,2593,Italian
101,Lers Ros,"730 Larkin St, San Francisco, CA 94109",4.0,2263,$$,37.784741,-122.417754,69799,Thai
102,Hot Cookie,"407 Castro St, San Francisco, CA 94114",4.0,1565,$$,-9999.0,-9999.0,85670,Bakeries
103,Harris' Restaurant,"2100 Van Ness Ave, San Francisco, CA 94109",4.0,1980,$$$$,37.795058,-122.423147,3053,Steakhouses
104,Lovejoy's Tea Room,"1351 Church St, San Francisco, CA 94114",4.5,1263,$$,-9999.0,-9999.0,89475,British
105,Ryoko's,"619 Taylor St, San Francisco, CA 94102",4.0,3177,$$,37.788134,-122.411817,3495,Sushi Bars
106,Isa Restaurant,"3324 Steiner St, San Francisco, CA 94123",4.0,2194,$$$,-9999.0,-9999.0,96588,French
107,Tommaso Ristorante Italiano,"1042 Kearny St, San Francisco, CA 94133",4.5,1720,$$,37.797398,-122.405322,486,Italian
108,Molinari Delicatessen,"373 Columbus Ave, San Francisco, CA 94133",4.5,1237,$$,37.798556,-122.407707,840,Delis
109,Hinodeya Ramen Bar,"1737 Buchanan St, San Francisco, CA 94115",4.0,1587,$$,-9999.0,-9999.0,87765,Ramen
110,Il Casaro Pizzeria & Mozzarella Bar - North Beach,"348 Columbus Ave, San Francisco, CA 94133",4.5,1481,$$,-9999.0,-9999.0,75147,Italian
111,Alexander's Steakhouse,"448 Brannan St, San Francisco, CA 94107",4.0,1832,$$$$,37.779153,-122.395569,63191,Steakhouses
112,Taqueria Cancún,"2288 Mission St, San Francisco, CA 94110",4.0,2090,$$,37.760487,-122.419285,2315,Mexican
113,B Star,"127 Clement St, San Francisco, CA 94118",4.0,1995,$$,37.783093,-122.460649,33911,Burmese
114,La Ciccia,"291 30th St, San Francisco, CA 94131",4.5,1182,$$$,37.742064,-122.426618,65549,Seafood
115,Roka Akor - San Francisco,"801 Montgomery St, San Francisco, CA 94133",4.0,1469,$$$$,-9999.0,-9999.0,74239,Steakhouses
116,The Original Ghirardelli Ice Cream & Chocolate Shop,"900 North Point, Ste 52, San Francisco, CA 94109",4.0,2732,$$,-9999.0,-9999.0,96537,Ice Cream & Frozen Yogurt
117,Tommy's Joynt,"1101 Geary Blvd, San Francisco, CA 94109",4.0,2961,$$,-9999.0,-9999.0,87613,American (Traditional)
118,Holy Gelato!,"1392 9th Ave, San Francisco, CA 94122",4.5,1100,$$,-9999.0,-9999.0,100504,Gelato
119,The Chairman,"2723 Oakdale Ave, San Francisco, CA 94124",4.0,1438,$,-9999.0,-9999.0,101678,Food Trucks
120,The Chairman,"2723 Oakdale Ave, San Francisco, CA 94124",4.0,1438,$,-9999.0,-9999.0,98848,Food Trucks
121,Blue Plate,"3218 Mission St, San Francisco, CA 94110",4.0,1523,$$$,37.745158,-122.420217,2689,American (Traditional)
122,Underdogs Tres,"1224 9th Ave, San Francisco, CA 94122",4.0,2070,$$,37.765412,-122.466375,68773,Sports Bars
123,La Fusión,"475 Pine St, San Francisco, CA 94104",4.5,1165,$$,37.791743,-122.403677,66515,Latin American
124,Parada 22,"1805 Haight St, San Francisco, CA 94117",4.0,1364,$$,37.769303,-122.451961,62051,Latin American
125,Acquerello,"1722 Sacramento St, San Francisco, CA 94109",4.5,1190,$$$$,37.791507,-122.421257,2175,Italian
126,Woodhouse Fish,"2073 Market St, San Francisco, CA 94114",4.0,1757,$$,37.767631,-122.428569,19205,Seafood
127,The Ice Cream Bar,"815 Cole St, San Francisco, CA 94117",4.0,1364,$,37.766567,-122.450189,66684,Ice Cream & Frozen Yogurt
128,Andytown Coffee Roasters,"3655 Lawton St, San Francisco, CA 94122",4.5,963,$,-9999.0,-9999.0,77004,Coffee Roasteries
129,Benu,"22 Hawthorne St, San Francisco, CA 94105",4.5,1118,$$$$,37.785608,-122.399069,62889,Asian Fusion
130,The Monk's Kettle,"3141 16th St, San Francisco, CA 94103",4.0,2272,$$,37.764814,-122.422979,35591,Bars
131,Dragon Beaux,"5700 Geary Blvd, San Francisco, CA 94121",4.0,1980,$$,-9999.0,-9999.0,81116,Dim Sum
132,Basa Seafood Express,"3064 24th St, San Francisco, CA 94110",4.5,872,$,37.752578,-122.413372,59397,Seafood
133,Salt & Straw,"586 Hayes St, San Francisco, CA 94102",4.5,723,$$,-9999.0,-9999.0,90931,Ice Cream & Frozen Yogurt
134,Pacific Catch,"2027 Chestnut St, San Francisco, CA 94123",4.0,1689,$$,37.800763,-122.436536,305,Seafood
135,Cracked & Battered - Potrero Hill,"1434 18th St, San Francisco, CA 94107",4.5,1130,$$,-9999.0,-9999.0,95554,Breakfast & Brunch
136,La Mediterranee,"2210 Fillmore St, San Francisco, CA 94115",4.0,1637,$$,37.789961,-122.433962,1322,Middle Eastern
137,Quince,"470 Pacific Ave, San Francisco, CA 94133",4.0,1540,$$$$,37.797378,-122.403344,61001,French
138,Urban Ritual,"488 Fell St, San Francisco, CA 94102",4.5,867,$,-9999.0,-9999.0,95621,Bubble Tea
139,Firefly Restaurant,"4288 24th St, San Francisco, CA 94114",4.0,1491,$$$,37.751068,-122.438242,2676,American (New)
140,Pizzetta 211,"211 23rd Ave, San Francisco, CA 94121",4.5,1390,$$,37.783758,-122.482885,40217,Pizza
141,Souvla,"517 Hayes St, San Francisco, CA 94102",4.0,1590,$$,-9999.0,-9999.0,77731,Greek
142,Tadich Grill,"240 California St, San Francisco, CA 94111",4.0,2582,$$$,37.793358,-122.399443,3122,Seafood
143,Rich Table,"199 Gough St, San Francisco, CA 94102",4.0,1391,$$$,37.775001,-122.422655,69680,American (New)
144,Frascati,"1901 Hyde St, San Francisco, CA 94109",4.5,1237,$$$,37.798392,-122.418923,18981,Italian
145,Art's Cafe,"747 Irving St, San Francisco, CA 94122",4.5,1186,$$,37.764013,-122.465749,48,Diners
146,Smuggler's Cove,"650 Gough St, San Francisco, CA 94102",4.0,1816,$$,-9999.0,-9999.0,61357,Tiki Bars
147,Hai Ky Noodles,"707 Ellis St, San Francisco, CA 94109",4.5,1070,$$,37.784193,-122.417967,283,Chinese
148,Lazy Bear,"3416 19th St, San Francisco, CA 94110",4.5,711,$$$$,-9999.0,-9999.0,80109,American (New)
149,Yasukochi's Sweet Stop,"1790 Sutter St, San Francisco, CA 94115",4.5,743,$$,37.786568,-122.429754,7575,Bakeries
150,Yasukochi's Sweet Stop,"1790 Sutter St, San Francisco, CA 94115",4.5,743,$$,37.78659,-122.429815,7764,Bakeries
151,Dumpling Kitchen,"1935 Taraval St, San Francisco, CA 94116",4.0,1875,$$,-9999.0,-9999.0,76942,Chinese
152,Yummy Yummy,"1015 Irving St, San Francisco, CA 94122",4.0,1508,$$,37.763913,-122.468809,1931,Vietnamese
153,Mourad Restaurant,"140 New Montgomery St, Ste 1, San Francisco, CA 94105",4.0,1202,$$$$,-9999.0,-9999.0,74975,Moroccan
154,Perbacco,"230 California St, San Francisco, CA 94111",4.0,2124,$$$,37.793368,-122.399294,21785,Italian
155,Akiko's Restaurant,"431 Bush St, San Francisco, CA 94108",4.0,1928,$$$,37.790643,-122.404676,121,Sushi Bars
156,Trestle ,"531 Jackson St, San Francisco, CA 94133",4.5,987,$$$,-9999.0,-9999.0,82578,American (New)
157,Hillstone,"1800 Montgomery St, San Francisco, CA 94111",4.0,2367,$$$,37.805643,-122.40529,38179,American (New)
158,Fresh Brew Coffee,"882 Bush St, San Francisco, CA 94108",4.5,642,$,-9999.0,-9999.0,77546,Coffee & Tea
159,Brenda's Meat & Three,"919 Divisadero St, San Francisco, CA 94115",4.0,1333,$$,37.778194,-122.438474,10875,Breakfast & Brunch
160,Piccolo Forno,"725 Columbus Ave, San Francisco, CA 94133",4.5,774,$$,-9999.0,-9999.0,85299,Pizza
161,Farm : Table,"754 Post St, San Francisco, CA 94109",4.0,1826,$$,-9999.0,-9999.0,86161,Coffee & Tea
162,Zuni Café,"1658 Market St, San Francisco, CA 94102",3.5,2875,$$$,37.773415,-122.421598,3645,Italian
163,Liguria Bakery,"1700 Stockton St, San Francisco, CA 94133",4.5,787,$,37.801407,-122.409296,7762,Bakeries
164,Pancho Villa Taqueria,"3071 16th St, San Francisco, CA 94103",3.5,2806,$$,37.764897,-122.421234,3651,Mexican
165,Blue Bottle Coffee,"1 Ferry Building, Ste 7, San Francisco, CA 94111",4.0,1574,$,37.795184,-122.393819,11491,Coffee & Tea
166,Blue Bottle Coffee,"1 Ferry Building, Ste 7, San Francisco, CA 94111",4.0,1574,$,37.795225,-122.39377,11568,Coffee & Tea
167,Blue Bottle Coffee,"1 Ferry Building, Ste 7, San Francisco, CA 94111",4.0,1574,$,37.795225,-122.39377,63079,Coffee & Tea
168,Blue Bottle Coffee,"1 Ferry Building, Ste 7, San Francisco, CA 94111",4.0,1574,$,-9999.0,-9999.0,76431,Coffee & Tea
169,Blue Bottle Coffee,"1 Ferry Building, Ste 7, San Francisco, CA 94111",4.0,1574,$,-9999.0,-9999.0,85898,Coffee & Tea
170,Gott's Roadside,"1 Ferry Building, Ste 6, San Francisco, CA 94111",3.5,2834,$$,37.795184,-122.393819,11491,Ice Cream & Frozen Yogurt
171,Gott's Roadside,"1 Ferry Building, Ste 6, San Francisco, CA 94111",3.5,2834,$$,37.795225,-122.39377,11568,Ice Cream & Frozen Yogurt
172,Gott's Roadside,"1 Ferry Building, Ste 6, San Francisco, CA 94111",3.5,2834,$$,37.795225,-122.39377,63079,Ice Cream & Frozen Yogurt
173,Gott's Roadside,"1 Ferry Building, Ste 6, San Francisco, CA 94111",3.5,2834,$$,-9999.0,-9999.0,76431,Ice Cream & Frozen Yogurt
174,Gott's Roadside,"1 Ferry Building, Ste 6, San Francisco, CA 94111",3.5,2834,$$,-9999.0,-9999.0,85898,Ice Cream & Frozen Yogurt
175,Blue Bottle Coffee,"1 Ferry Building, Kiosk 4, Ste 56, San Francisco, CA 94111",4.0,562,$,37.795184,-122.393819,11491,Coffee & Tea
176,Blue Bottle Coffee,"1 Ferry Building, Kiosk 4, Ste 56, San Francisco, CA 94111",4.0,562,$,37.795225,-122.39377,11568,Coffee & Tea
177,Blue Bottle Coffee,"1 Ferry Building, Kiosk 4, Ste 56, San Francisco, CA 94111",4.0,562,$,37.795225,-122.39377,63079,Coffee & Tea
178,Blue Bottle Coffee,"1 Ferry Building, Kiosk 4, Ste 56, San Francisco, CA 94111",4.0,562,$,-9999.0,-9999.0,76431,Coffee & Tea
179,Blue Bottle Coffee,"1 Ferry Building, Kiosk 4, Ste 56, San Francisco, CA 94111",4.0,562,$,-9999.0,-9999.0,85898,Coffee & Tea
180,Wildseed,"2000 Union St, San Francisco, CA 94123",4.5,959,$$,-9999.0,-9999.0,82909,Vegan
181,Stonemill Matcha,"561 Valencia St, San Francisco, CA 94110",4.0,1069,$$,-9999.0,-9999.0,94126,Cafes
182,Honey Honey Cafe and Crepery,"599 Post St, San Francisco, CA 94102",4.0,2809,$$,37.787863,-122.411407,37682,Breakfast & Brunch
183,Boiling Hot Pot,"5512 Geary Blvd, San Francisco, CA 94121",4.5,1010,$$$,-9999.0,-9999.0,78332,Hot Pot
184,Amélie,"1754 Polk St, San Francisco, CA 94109",4.0,1392,$$,-9999.0,-9999.0,80930,Wine Bars
185,Dynamo Donut & Coffee,"2760 24th St, San Francisco, CA 94110",4.0,1963,$,37.752928,-122.407612,38423,Coffee & Tea
186,Han Il Kwan,"1802 Balboa St, San Francisco, CA 94121",4.0,1754,$$,37.776599,-122.478292,3165,Korean
187,Stella Pastry & Cafe,"446 Columbus Ave, San Francisco, CA 94133",4.0,1433,$$,37.799065,-122.408355,33386,Bakeries
188,Wonderful Dessert & Cafe,"2035 Irving St, San Francisco, CA 94122",4.0,1297,$,37.763399,-122.479654,18767,Candy Stores
189,Chez Maman West,"401 Gough St, San Francisco, CA 94102",4.0,1369,$$,37.776889,-122.423039,69110,French
190,Tadu Ethiopian Kitchen,"484 Ellis St, San Francisco, CA 94102",4.5,691,$$,-9999.0,-9999.0,80361,Ethiopian
191,BIX,"56 Gold St, San Francisco, CA 94133",4.0,1906,$$$$,37.796778,-122.402875,3520,American (Traditional)
192,Roam Artisan Burgers,"1785 Union St, San Francisco, CA 94123",4.0,1591,$$,37.797954,-122.428477,63047,Burgers
193,Limón,"524 Valencia St, San Francisco, CA 94110",3.5,2680,$$,37.764437,-122.421885,3076,Peruvian
194,The Italian Homemade Company,"1919 Union St, San Francisco, CA 94123",4.5,1093,$$,-9999.0,-9999.0,83575,Italian
195,Bi-Rite Market,"3639 18th St, San Francisco, CA 94110",4.5,959,$$$,37.761483,-122.424688,4481,Specialty Food
196,Taylor Street Coffee Shop,"375 Taylor St, San Francisco, CA 94102",4.0,1215,$$,-9999.0,-9999.0,80285,Burgers
197,The Alembic,"1725 Haight St, San Francisco, CA 94117",4.0,1679,$$,-9999.0,-9999.0,96027,American (New)
198,Sushi Zone,"1815 Market St, San Francisco, CA 94103",4.0,1066,$$,37.771437,-122.423892,562,Sushi Bars
199,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,37.728497,-122.475639,3267,Japanese
200,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,37.728497,-122.475639,4636,Japanese
201,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,37.728497,-122.475639,522,Japanese
202,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,-9999.0,-9999.0,60632,Japanese
203,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,-9999.0,-9999.0,67414,Japanese
204,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,-9999.0,-9999.0,71413,Japanese
205,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,-9999.0,-9999.0,76060,Japanese
206,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,-9999.0,-9999.0,76126,Japanese
207,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,-9999.0,-9999.0,82441,Japanese
208,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,-9999.0,-9999.0,84469,Japanese
209,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,-9999.0,-9999.0,85078,Japanese
210,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,-9999.0,-9999.0,88461,Japanese
211,Marugame Udon,"3251 20th Ave, Space 184, San Francisco, CA 94132",4.0,2129,$$,-9999.0,-9999.0,88829,Japanese
